"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000320092 (pp) 9606.ENSP00000349022","false","pp","9606.ENSP00000320092 (pp) 9606.ENSP00000349022","0.064","0.0","0.8","0.0","0.0",,"0.0","0.976","0.885"
"pp","9606.ENSP00000322421 (pp) 9606.ENSP00000497236","false","pp","9606.ENSP00000322421 (pp) 9606.ENSP00000497236","0.5","0.0","0.0","0.0","0.0",,"0.0","0.717","0.457"
"pp","9606.ENSP00000322421 (pp) 9606.ENSP00000349270","false","pp","9606.ENSP00000322421 (pp) 9606.ENSP00000349270","0.43","0.0","0.54","0.0","0.0",,"0.0","0.733","0.066"
"pp","9606.ENSP00000322421 (pp) 9606.ENSP00000494175","false","pp","9606.ENSP00000322421 (pp) 9606.ENSP00000494175","0.999","0.064","0.72","0.973","0.0",,"0.0","0.999","0.903"
"pp","9606.ENSP00000327246 (pp) 9606.ENSP00000387662","false","pp","9606.ENSP00000327246 (pp) 9606.ENSP00000387662","0.0","0.0","0.4","0.0","0.0",,"0.0","0.769","0.631"
"pp","9606.ENSP00000328484 (pp) 9606.ENSP00000484841","false","pp","9606.ENSP00000328484 (pp) 9606.ENSP00000484841","0.576","0.0","0.0","0.177","0.036",,"0.0","0.78","0.421"
"pp","9606.ENSP00000328484 (pp) 9606.ENSP00000330074","false","pp","9606.ENSP00000328484 (pp) 9606.ENSP00000330074","0.455","0.0","0.0","0.136","0.005",,"0.0","0.786","0.581"
"pp","9606.ENSP00000328484 (pp) 9606.ENSP00000482674","false","pp","9606.ENSP00000328484 (pp) 9606.ENSP00000482674","0.706","0.0","0.4","0.178","0.086",,"0.0","0.867","0.155"
"pp","9606.ENSP00000328484 (pp) 9606.ENSP00000366962","false","pp","9606.ENSP00000328484 (pp) 9606.ENSP00000366962","0.823","0.0","0.0","0.178","0.086",,"0.0","0.922","0.483"
"pp","9606.ENSP00000328484 (pp) 9606.ENSP00000477907","false","pp","9606.ENSP00000328484 (pp) 9606.ENSP00000477907","0.733","0.0","0.4","0.293","0.085",,"0.0","0.923","0.371"
