"gene_id","biomart_id","entrez_id","gene_name","log2FoldChange","pvalue","padj"
"ENSG00000228175.3","ENSG00000228175",NA,NA,1.28202166364433,2.25150319024265e-21,2.56016571935601e-20
"ENSG00000225315.2","ENSG00000225315",NA,NA,-1.28186754131955,2.84127640899151e-06,8.49246813286425e-06
"ENSG00000173531.15","ENSG00000173531","4485","MST1",1.28163032473259,9.65860767347787e-17,7.74613272445705e-16
"ENSG00000279602.1","ENSG00000279602",NA,NA,1.28145557132104,2.13795092037598e-11,1.10967544872189e-10
"ENSG00000239726.3","ENSG00000239726","106479474","RN7SL688P",1.28141458549905,0.00159596340519059,0.00319578777717299
"ENSG00000260589.1","ENSG00000260589","102723166","STAM-DT",1.28134872730393,4.58152324168607e-15,3.22818572260723e-14
"ENSG00000285706.1","ENSG00000285706","124902229","LOC124902229",1.28130888887497,9.87635502339038e-09,3.92379839269256e-08
"ENSG00000260105.6","ENSG00000260105",NA,NA,-1.28109081595192,9.61967838914845e-18,8.35323973185973e-17
"ENSG00000170549.4","ENSG00000170549","79192","IRX1",-1.28107024799143,4.60890901466913e-05,0.000117367057273187
"ENSG00000114771.14","ENSG00000114771","13","AADAC",-1.28094389487718,1.80994513567609e-05,4.87987727594951e-05
"ENSG00000229444.1","ENSG00000229444","101929592","ST3GAL3-AS1",1.28093368624628,0.0289787906575338,0.0461323347049128
"ENSG00000262370.6","ENSG00000262370",NA,NA,-1.28056375893148,5.00156331184339e-17,4.08972191849502e-16
"ENSG00000248896.3","ENSG00000248896","102723313","SOX7-AS1",-1.28025478963553,9.0634589941429e-19,8.50309843058287e-18
"ENSG00000163273.4","ENSG00000163273","4880","NPPC",1.28013285602186,5.6395780052131e-06,1.61997542895949e-05
"ENSG00000270091.1","ENSG00000270091",NA,NA,-1.28012873974786,3.08645954726882e-27,5.21571239904222e-26
"ENSG00000123178.15","ENSG00000123178","57213","SPRYD7",-1.28004780664293,5.58613330185162e-62,5.44573515153175e-60
"ENSG00000226747.6","ENSG00000226747",NA,NA,1.2796602414307,5.18802095260058e-06,1.49900079806122e-05
"ENSG00000231682.1","ENSG00000231682","105373934","LINC01891",1.27962195551463,7.84697404227759e-05,0.000193305763848088
"ENSG00000163806.16","ENSG00000163806","245711","SPDYA",1.27909344793721,2.32079420841758e-11,1.20201795902091e-10
"ENSG00000242958.1","ENSG00000242958","100271512","RPL36AP32",1.27907494332312,0.00831961831052537,0.01466875670851
"ENSG00000158859.10","ENSG00000158859","9507","ADAMTS4",-1.27874798216747,2.45769393445367e-11,1.27067266011253e-10
"ENSG00000144381.18","ENSG00000144381","3329","HSPD1",1.27873861702171,3.69934362158942e-42,1.43236103561788e-40
